id,created_at,is_active,name,name_it,name_en
6,2021-12-10 06:22:47.106857+00:00,True,Asia,Asia,Asia
5,2021-12-10 06:22:42.141719+00:00,True,America,America,America
4,2021-12-10 06:22:36.549594+00:00,True,Africa,Africa,Africa
3,2021-12-03 06:33:01.761217+00:00,True,Europe,Europa,Europe
